Name,Lat,Long,Terain
Ammapet,11.65574033719611, 78.18778213253636,city
Kitchipalayam,11.652564462050577, 78.16837999560626,city
Erumapalayam,11.632405915146094, 78.16949634787441,city
Gugai,11.642750145618818, 78.15627543253333,city
Old Bus Stand,11.652123203417679, 78.16000906741161,stand
Hasthampatti,11.682895867056871, 78.15409549284549,city
Ponnammapet,11.665483701346023, 78.1656755632255,city
Ayothiapattinam,11.675263377027846, 78.23876855207568,city
Fairlands,11.674922805916587, 78.14255510979329,city
Salem New Bus Stand,11.670633622276563, 78.13961080828312,stand
5-Roads,11.67546310507817, 78.1343865524625,city
4-Roads,11.663038123068155, 78.14774749532599,city
Yercard,11.776010368854248, 78.20966220187722,hills
Kholi Hills,11.348052551569072, 78.27151270642753,hills
Pachamalai,11.346020838383648, 78.59946656315341,hills
Kalrayan Hills,11.855842437484695, 78.63549870703338,hills
Jarugumalai,11.5829206410462, 78.23240797866956,hills
Nagarmalai,11.71298045375896, 78.13981320551838,hills
Godumalai,11.675347918878682, 78.32863222547763,hills
Kanjamalai,11.624905130288543, 78.06025701668356,hills
